,name,size,industry,job_url,overview_url
0,University of Texas at Austin,10000+ Employees,Colleges & Universities,glassdoor.com/Jobs/University-of-Texas-at-Austin-Jobs-E133952.htm,"glassdoor.com/Overview/Working-at-University-of-Texas-at-Austin-EI_IE133952.11,40.htm"
1,Apple,10000+ Employees,Computer Hardware & Software,glassdoor.com/Jobs/Apple-Jobs-E1138.htm,"glassdoor.com/Overview/Working-at-Apple-EI_IE1138.11,16.htm"
2,Dell Technologies,10000+ Employees,IT Services,glassdoor.com/Jobs/Dell-Technologies-Jobs-E1327.htm,"glassdoor.com/Overview/Working-at-Dell-Technologies-EI_IE1327.11,28.htm"
3,IBM,10000+ Employees,IT Services,glassdoor.com/Jobs/IBM-Jobs-E354.htm,"glassdoor.com/Overview/Working-at-IBM-EI_IE354.11,14.htm"
4,National Instruments,5001 to 10000 Employees,Electrical & Electronic Manufacturing,glassdoor.com/Jobs/National-Instruments-Jobs-E4030.htm,"glassdoor.com/Overview/Working-at-National-Instruments-EI_IE4030.11,31.htm"
5,NVIDIA,10000+ Employees,Computer Hardware & Software,glassdoor.com/Jobs/NVIDIA-Jobs-E7633.htm,"glassdoor.com/Overview/Working-at-NVIDIA-EI_IE7633.11,17.htm"
6,Atlassian,1001 to 5000 Employees,Computer Hardware & Software,glassdoor.com/Jobs/Atlassian-Jobs-E115699.htm,"glassdoor.com/Overview/Working-at-Atlassian-EI_IE115699.11,20.htm"
7,Silicon Labs,1001 to 5000 Employees,Electrical & Electronic Manufacturing,glassdoor.com/Jobs/Silicon-Labs-Jobs-E9122.htm,"glassdoor.com/Overview/Working-at-Silicon-Labs-EI_IE9122.11,23.htm"
8,SailPoint Technologies,1001 to 5000 Employees,Enterprise Software & Network Solutions,glassdoor.com/Jobs/SailPoint-Technologies-Jobs-E449696.htm,"glassdoor.com/Overview/Working-at-SailPoint-Technologies-EI_IE449696.11,33.htm"
9,Facebook,10000+ Employees,Internet,glassdoor.com/Jobs/Facebook-Jobs-E40772.htm,"glassdoor.com/Overview/Working-at-Facebook-EI_IE40772.11,19.htm"
10,Google,10000+ Employees,Internet,glassdoor.com/Jobs/Google-Jobs-E9079.htm,"glassdoor.com/Overview/Working-at-Google-EI_IE9079.11,17.htm"
11,H E B,10000+ Employees,Grocery Stores & Supermarkets,glassdoor.com/Jobs/H-E-B-Jobs-E2824.htm,"glassdoor.com/Overview/Working-at-H-E-B-EI_IE2824.11,16.htm"
12,Cirrus Logic,1001 to 5000 Employees,Electrical & Electronic Manufacturing,glassdoor.com/Jobs/Cirrus-Logic-Jobs-E1259.htm,"glassdoor.com/Overview/Working-at-Cirrus-Logic-EI_IE1259.11,23.htm"
13,Texas State,1001 to 5000 Employees,Colleges & Universities,glassdoor.com/Jobs/Texas-State-Jobs-E4393.htm,"glassdoor.com/Overview/Working-at-Texas-State-EI_IE4393.11,22.htm"
14,Cisco Systems,10000+ Employees,Computer Hardware & Software,glassdoor.com/Jobs/Cisco-Systems-Jobs-E1425.htm,"glassdoor.com/Overview/Working-at-Cisco-Systems-EI_IE1425.11,24.htm"
15,Mentor Graphics,5001 to 10000 Employees,Computer Hardware & Software,glassdoor.com/Jobs/Mentor-Graphics-Jobs-E1635.htm,"glassdoor.com/Overview/Working-at-Mentor-Graphics-EI_IE1635.11,26.htm"
16,VMware,10000+ Employees,Computer Hardware & Software,glassdoor.com/Jobs/VMware-Jobs-E12830.htm,"glassdoor.com/Overview/Working-at-VMware-EI_IE12830.11,17.htm"
17,Indeed,10000+ Employees,Internet,glassdoor.com/Jobs/Indeed-Jobs-E100561.htm,"glassdoor.com/Overview/Working-at-Indeed-EI_IE100561.11,17.htm"
18,Procore Technologies,1001 to 5000 Employees,Computer Hardware & Software,glassdoor.com/Jobs/Procore-Technologies-Jobs-E691343.htm,"glassdoor.com/Overview/Working-at-Procore-Technologies-EI_IE691343.11,31.htm"
19,Arm,5001 to 10000 Employees,Computer Hardware & Software,glassdoor.com/Jobs/Arm-Jobs-E7834.htm,"glassdoor.com/Overview/Working-at-Arm-EI_IE7834.11,14.htm"
20,SolarWinds,1001 to 5000 Employees,Enterprise Software & Network Solutions,glassdoor.com/Jobs/SolarWinds-Jobs-E100286.htm,"glassdoor.com/Overview/Working-at-SolarWinds-EI_IE100286.11,21.htm"
21,Kendra Scott,1001 to 5000 Employees,"Department, Clothing, & Shoe Stores",glassdoor.com/Jobs/Kendra-Scott-Jobs-E701130.htm,"glassdoor.com/Overview/Working-at-Kendra-Scott-EI_IE701130.11,23.htm"
22,Informatica,1001 to 5000 Employees,Enterprise Software & Network Solutions,glassdoor.com/Jobs/Informatica-Jobs-E8797.htm,"glassdoor.com/Overview/Working-at-Informatica-EI_IE8797.11,22.htm"
23,Intel Corporation,10000+ Employees,Computer Hardware & Software,glassdoor.com/Jobs/Intel-Corporation-Jobs-E1519.htm,"glassdoor.com/Overview/Working-at-Intel-Corporation-EI_IE1519.11,28.htm"
24,Round Rock Independent School District,1001 to 5000 Employees,Preschool & Child Care,glassdoor.com/Salary/Round-Rock-Independent-School-District-Salaries-E155380.htm,glassdoor.com/Jobs/Round-Rock-Independent-School-District-Jobs-E155380.htm
25,City of Austin Texas,10000+ Employees,Municipal Governments,glassdoor.com/Jobs/City-of-Austin-Texas-Jobs-E43163.htm,"glassdoor.com/Overview/Working-at-City-of-Austin-Texas-EI_IE43163.11,31.htm"
26,Qualcomm,10000+ Employees,Computer Hardware & Software,glassdoor.com/Jobs/Qualcomm-Jobs-E640.htm,"glassdoor.com/Overview/Working-at-Qualcomm-EI_IE640.11,19.htm"
27,AMD,5001 to 10000 Employees,Computer Hardware & Software,glassdoor.com/Jobs/AMD-Jobs-E15.htm,"glassdoor.com/Overview/Working-at-AMD-EI_IE15.11,14.htm"
28,Electronic Arts,5001 to 10000 Employees,Video Games,glassdoor.com/Jobs/Electronic-Arts-Jobs-E1628.htm,"glassdoor.com/Overview/Working-at-Electronic-Arts-EI_IE1628.11,26.htm"
29,PayPal,10000+ Employees,Internet,glassdoor.com/Jobs/PayPal-Jobs-E9848.htm,"glassdoor.com/Overview/Working-at-PayPal-EI_IE9848.11,17.htm"
30,Applied Materials,10000+ Employees,Electrical & Electronic Manufacturing,glassdoor.com/Jobs/Applied-Materials-Jobs-E1139.htm,"glassdoor.com/Overview/Working-at-Applied-Materials-EI_IE1139.11,28.htm"
31,Hewlett Packard Enterprise | HPE,10000+ Employees,Enterprise Software & Network Solutions,glassdoor.com/Jobs/Hewlett-Packard-Enterprise-HPE-Jobs-E1093046.htm,"glassdoor.com/Overview/Working-at-Hewlett-Packard-Enterprise-HPE-EI_IE1093046.11,41.htm"
32,Accenture,10000+ Employees,Consulting,glassdoor.com/Jobs/Accenture-Jobs-E4138.htm,"glassdoor.com/Overview/Working-at-Accenture-EI_IE4138.11,20.htm"
33,PPD,10000+ Employees,Biotech & Pharmaceuticals,glassdoor.com/Jobs/PPD-Jobs-E5695.htm,"glassdoor.com/Overview/Working-at-PPD-EI_IE5695.11,14.htm"
34,Amazon,10000+ Employees,Internet,glassdoor.com/Jobs/Amazon-Jobs-E6036.htm,"glassdoor.com/Overview/Working-at-Amazon-EI_IE6036.11,17.htm"
35,Best Buy,10000+ Employees,Consumer Electronics & Appliances Stores,glassdoor.com/Jobs/Best-Buy-Jobs-E97.htm,"glassdoor.com/Overview/Working-at-Best-Buy-EI_IE97.11,19.htm"
36,ACC,1001 to 5000 Employees,Colleges & Universities,glassdoor.com/Jobs/ACC-Jobs-E23629.htm,"glassdoor.com/Overview/Working-at-ACC-EI_IE23629.11,14.htm"
37,3M,10000+ Employees,Miscellaneous Manufacturing,glassdoor.com/Jobs/3M-Jobs-E446.htm,"glassdoor.com/Overview/Working-at-3M-EI_IE446.11,13.htm"
38,Insight Global,1001 to 5000 Employees,Staffing & Outsourcing,glassdoor.com/Jobs/Insight-Global-Jobs-E152783.htm,"glassdoor.com/Overview/Working-at-Insight-Global-EI_IE152783.11,25.htm"
39,GoDaddy,5001 to 10000 Employees,Internet,glassdoor.com/Jobs/GoDaddy-Jobs-E35337.htm,"glassdoor.com/Overview/Working-at-GoDaddy-EI_IE35337.11,18.htm"
40,Deloitte,10000+ Employees,Accounting,glassdoor.com/Jobs/Deloitte-Jobs-E2763.htm,"glassdoor.com/Overview/Working-at-Deloitte-EI_IE2763.11,19.htm"
41,Flex,10000+ Employees,Electrical & Electronic Manufacturing,glassdoor.com/Jobs/Flex-Jobs-E1036355.htm,"glassdoor.com/Overview/Working-at-Flex-EI_IE1036355.11,15.htm"
42,Baylor Scott & White Health,10000+ Employees,Health Care Services & Hospitals,glassdoor.com/Jobs/Baylor-Scott-and-White-Health-Jobs-E4458.htm,"glassdoor.com/Overview/Working-at-Baylor-Scott-and-White-Health-EI_IE4458.11,40.htm"
43,Visa Inc.,10000+ Employees,IT Services,glassdoor.com/Jobs/Visa-Inc-Jobs-E3035.htm,"glassdoor.com/Overview/Working-at-Visa-Inc-EI_IE3035.11,19.htm"
44,eBay,10000+ Employees,Internet,glassdoor.com/Jobs/eBay-Jobs-E7853.htm,"glassdoor.com/Overview/Working-at-eBay-EI_IE7853.11,15.htm"
45,NXP Semiconductors,10000+ Employees,Electrical & Electronic Manufacturing,glassdoor.com/Jobs/NXP-Semiconductors-Jobs-E13528.htm,"glassdoor.com/Overview/Working-at-NXP-Semiconductors-EI_IE13528.11,29.htm"
46,Starbucks,10000+ Employees,Fast-Food & Quick-Service Restaurants,glassdoor.com/Jobs/Starbucks-Jobs-E2202.htm,"glassdoor.com/Overview/Working-at-Starbucks-EI_IE2202.11,20.htm"
47,Progressive Insurance,10000+ Employees,Insurance Carriers,glassdoor.com/Jobs/Progressive-Insurance-Jobs-E546.htm,"glassdoor.com/Overview/Working-at-Progressive-Insurance-EI_IE546.11,32.htm"
48,Tata Consultancy Services,10000+ Employees,Computer Hardware & Software,glassdoor.com/Jobs/Tata-Consultancy-Services-Jobs-E13461.htm,"glassdoor.com/Overview/Working-at-Tata-Consultancy-Services-EI_IE13461.11,36.htm"
49,TxDOT,10000+ Employees,State & Regional Agencies,glassdoor.com/Jobs/TxDOT-Jobs-E41723.htm,"glassdoor.com/Overview/Working-at-TxDOT-EI_IE41723.11,16.htm"
50,Cognizant Technology Solutions,10000+ Employees,N/A,glassdoor.com/Jobs/Cognizant-Technology-Solutions-Jobs-E8014.htm,"glassdoor.com/Overview/Working-at-Cognizant-Technology-Solutions-EI_IE8014.11,41.htm"
51,Vrbo,1001 to 5000 Employees,Internet,glassdoor.com/Jobs/Vrbo-Jobs-E42523.htm,"glassdoor.com/Overview/Working-at-Vrbo-EI_IE42523.11,15.htm"
52,White Lodging,5001 to 10000 Employees,"Hotels, Motels, & Resorts",glassdoor.com/Jobs/White-Lodging-Jobs-E135799.htm,"glassdoor.com/Overview/Working-at-White-Lodging-EI_IE135799.11,24.htm"
53,Blizzard Entertainment,1001 to 5000 Employees,Video Games,glassdoor.com/Jobs/Blizzard-Entertainment-Jobs-E24858.htm,"glassdoor.com/Overview/Working-at-Blizzard-Entertainment-EI_IE24858.11,33.htm"
54,Texas Department of Public Safety,1001 to 5000 Employees,Municipal Governments,glassdoor.com/Salary/Texas-Department-of-Public-Safety-Salaries-E204587.htm,glassdoor.com/Jobs/Texas-Department-of-Public-Safety-Jobs-E204587.htm
55,General Motors (GM),10000+ Employees,Transportation Equipment Manufacturing,glassdoor.com/Jobs/General-Motors-GM-Jobs-E279.htm,"glassdoor.com/Overview/Working-at-General-Motors-GM-EI_IE279.11,28.htm"
56,The Home Depot,10000+ Employees,N/A,glassdoor.com/Jobs/The-Home-Depot-Jobs-E655.htm,"glassdoor.com/Overview/Working-at-The-Home-Depot-EI_IE655.11,25.htm"
57,Rackspace Technology,5001 to 10000 Employees,IT Services,glassdoor.com/Jobs/Rackspace-Technology-Jobs-E11783.htm,"glassdoor.com/Overview/Working-at-Rackspace-Technology-EI_IE11783.11,31.htm"
58,Freescale Semiconductor,10000+ Employees,Electrical & Electronic Manufacturing,glassdoor.com/Jobs/Freescale-Semiconductor-Jobs-E20881.htm,"glassdoor.com/Overview/Working-at-Freescale-Semiconductor-EI_IE20881.11,34.htm"
59,Charles Schwab,10000+ Employees,Investment Banking & Asset Management,glassdoor.com/Jobs/Charles-Schwab-Jobs-E144.htm,"glassdoor.com/Overview/Working-at-Charles-Schwab-EI_IE144.11,25.htm"
60,Nordstrom,10000+ Employees,"Department, Clothing, & Shoe Stores",glassdoor.com/Jobs/Nordstrom-Jobs-E1704.htm,"glassdoor.com/Overview/Working-at-Nordstrom-EI_IE1704.11,20.htm"
61,Target,10000+ Employees,General Merchandise & Superstores,glassdoor.com/Jobs/Target-Jobs-E194.htm,"glassdoor.com/Overview/Working-at-Target-EI_IE194.11,17.htm"
62,State of Texas,10000+ Employees,State & Regional Agencies,glassdoor.com/Salary/State-of-Texas-Salaries-E324313.htm,glassdoor.com/Jobs/State-of-Texas-Jobs-E324313.htm
63,Wells Fargo,10000+ Employees,Banks & Credit Unions,glassdoor.com/Jobs/Wells-Fargo-Jobs-E8876.htm,"glassdoor.com/Overview/Working-at-Wells-Fargo-EI_IE8876.11,22.htm"
64,Oracle,10000+ Employees,Enterprise Software & Network Solutions,glassdoor.com/Jobs/Oracle-Jobs-E1737.htm,"glassdoor.com/Overview/Working-at-Oracle-EI_IE1737.11,17.htm"
65,Texas Commission on Environmental Quality,1001 to 5000 Employees,State & Regional Agencies,glassdoor.com/Salary/Texas-Commission-on-Environmental-Quality-Salaries-E106805.htm,glassdoor.com/Jobs/Texas-Commission-on-Environmental-Quality-Jobs-E106805.htm
66,Whole Foods Market,10000+ Employees,Grocery Stores & Supermarkets,glassdoor.com/Jobs/Whole-Foods-Market-Jobs-E422.htm,"glassdoor.com/Overview/Working-at-Whole-Foods-Market-EI_IE422.11,29.htm"
67,Luminex,1001 to 5000 Employees,Biotech & Pharmaceuticals,glassdoor.com/Jobs/Luminex-Jobs-E11502.htm,"glassdoor.com/Overview/Working-at-Luminex-EI_IE11502.11,18.htm"
68,SHI International,1001 to 5000 Employees,Computer Hardware & Software,glassdoor.com/Jobs/SHI-International-Jobs-E14216.htm,"glassdoor.com/Overview/Working-at-SHI-International-EI_IE14216.11,28.htm"
69,Accruent,1001 to 5000 Employees,Enterprise Software & Network Solutions,glassdoor.com/Salary/Accruent-Salaries-E16198.htm,glassdoor.com/Jobs/Accruent-Jobs-E16198.htm
